block,r2,rmse,pearson_r,n_test
0,0.02316585145980521,0.03447252011474827,0.22056436584533884,344
1,0.1511494289452645,0.03184660867945816,0.39108602641686285,293
2,0.04986698757640751,0.02974250157288509,0.29111310733130263,258
3,0.09847810321964101,0.0398633901792343,0.3164583013377194,343
4,0.11104111618590917,0.040078806545463884,0.33741945275611696,245
